AMZN,GE,GOOG,JPM,LIN,LLY,MSFT,NEE,PLD,WMT,XOM
967944016054.4521,128164189081.6489,728763096727.7844,60618997992.371895,182877480287.27026,225739797444.28116,5416129503148.3955,50408137651.1011,,74278366173.15341,65587190698.4348
972175997998.341,127263435897.1726,725948721760.87,61306886022.988304,187431063015.5525,226055339802.39008,5423550902281.043,49888247494.2586,,74217239177.44598,65913770802.71657
976194260378.918,128550185771.81299,728943261091.3192,61623431609.47584,189837389410.6906,227475302080.78497,5470397578146.461,50252163037.866516,,74522859930.47797,65962713456.42597
994525878170.8866,129965675256.15288,742064497547.8188,63699266149.061424,190538765537.19974,226230682841.3044,5520491557594.691,49516538783.357956,,74744460108.15193,66721952882.36001
994410695455.1604,131767181625.10545,745829416094.4034,64003625009.90658,192092581228.57706,226704018045.37262,5528375423316.579,49253978921.50754,,74072048929.86505,66436229917.50902
998094618464.0907,129965675256.15288,749202912037.9705,64131466257.84077,197185734672.23218,222724529848.57703,5564554139981.956,49209792419.575935,,74263087980.60284,66044367515.46917
997085912313.806,129064952363.34947,754844033163.297,64751008787.036224,198437405702.16815,220200176539.10263,5536260776069.301,48973242420.46607,,74966065027.66098,66983202513.02902
1007183597059.1349,128807584213.41766,749967034559.5554,64597660060.36434,199214295763.13367,222619387581.48273,5560844741567.612,49409949084.04693,,75516217472.69795,67342373583.00786
1014079838028.8733,122116284940.24667,747910667617.2788,64806207166.35945,199451757386.51144,222917365302.03336,5562699812532.493,49035636716.45511,,75821847709.40004,67758745451.120705
1006394214859.928,118641951228.69528,743816466820.3716,64327756100.60072,197358388764.48438,223057636844.24417,5532549518866.414,49313769560.8054,,75409232190.16354,66885232897.8645
1012692961175.7577,117869856876.12416,746866937208.1665,64616059520.13875,195329756534.6903,222970001436.29514,5574758517319.632,49030442755.158356,,76104584366.45155,66583158245.00117
1010905830659.062,117355140770.70915,748395229650.5375,65161987932.33054,194067219038.91525,219393792117.78024,5581252752727.547,49399556710.75822,,77021489302.06299,66901540424.676704
1010352167336.3375,115811022746.13695,756627096311.7979,68216743184.31371,194606825323.7344,215729918502.1098,5610010070260.277,49610105748.517914,,77602207615.87122,66060687086.24505
1011344394913.6389,115553634401.75658,758633788891.2792,67437715157.87579,194380159027.30316,217518015939.06564,5614648491187.8955,49690685585.08839,,78266974956.04776,65840266492.42492
1021305064925.2283,117612488726.19237,762380032152.6146,68149271263.84931,194898139088.78293,210295483197.83533,5601660392129.773,49264389097.57704,,78649029348.34807,66289261443.47129
1022280813929.5463,117355140770.70915,768101968915.8855,70112169691.4489,194132008785.3177,204229934288.13654,5648041999101.993,49298169874.13434,,78824771239.19507,66477042895.73966
1020565034797.3927,120314768474.06981,768120596801.9337,69596903428.23534,194660748604.29773,201950951454.15747,5722256733943.878,49222783998.86062,,78840044689.91058,66232112835.846535
1034609714186.3352,119928751589.45712,775867854030.7343,69682791086.38016,193042125381.7948,202424315547.4322,5740345720518.858,49487929714.62142,,78221126152.8909,67677095406.73206
1054596801206.2899,120057410421.3623,785628013134.3656,69768662466.61897,193506164377.98813,205965395590.83057,5818269110259.671,49334558758.07801,,78756005147.21236,68068973867.39014
1042525619139.1543,119928751589.45712,780316126860.1605,69652118085.46458,191660945997.94653,206859502087.7215,5798325052719.81,49404755122.75017,,79107479445.23625,66746442275.16022
1042799732254.2122,117355140770.70915,784944611452.3229,69688911579.04472,190215065791.31155,207262708742.98593,5990349061835.978,49513930675.97159,,79099849832.63109,67121965033.1514
1069321284466.4791,123145707053.85243,790368312442.0182,70216451383.39946,192351562366.95538,210137704796.47925,6024672335778.766,49833659717.647896,,77579285585.21031,65709641677.09041
1062633325967.444,125204571475.51251,799935841192.2148,71228573598.11482,191099873552.29626,209664355147.80777,6019106751126.416,49849263855.01415,,77602207615.87122,65285132104.1897
1056104297867.7405,130866448635.07776,738367928649.2786,71185627056.05807,194509649596.4923,205176575807.06647,6057605235892.165,50543291912.196686,,78580253772.69524,65538219942.143486
1047881406301.4753,129965675256.15288,725693998453.9414,70639709495.80362,192383930563.0719,207175015556.62387,5931442565910.294,50239171458.581825,,77449397239.35522,64223850142.62879
1042015787147.6139,131895880845.90779,722295665328.9768,70793047370.53816,194757853192.64722,207665900953.6471,5853984245062.682,49836250022.25347,,77288938282.89384,63097265810.037025
1075806397587.4199,135112836310.3031,736454422899.2393,71228573598.11482,195264984573.01102,204948683301.50986,5978752823638.079,50015626390.84225,,77999559168.0623,63244210196.14741
